query_id,relevant_products,products,ndcg,recall,top_1_accuracy
TRAIN_001,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_003']",ICE_007;ESP_013;ICE_009;ICE_008;ICE_015;ESP_002;ESP_001;ICE_005;ICE_001;CBR_001;CBR_012;CBR_007;ICE_014;CBR_011;ICE_013;ESP_006;CBR_009;ESP_010;ICE_012;ESP_009;BRW_003;CBR_010;CBR_008;FRP_006;BRW_005;CBR_002;CBR_004;CBR_003;CBR_005;CBR_006;BRW_002;BRW_001,0.32605702802363257,1.0,0.0
TRAIN_002,"['TEA_005', 'ICT_004', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'ICT_010', 'ICT_009', 'TEA_010', 'TEA_011']",TEA_011;TEA_005;TEA_010;TEA_008;ICT_010;ICT_006;ICT_008;TEA_004;ICT_009;ICT_004;ICT_005;TEA_009;TEA_007;ICT_007;TEA_006,1.0,1.0,1.0
TRAIN_003,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003', 'BRW_005']",BRW_004;BRW_005;BRW_003;BRW_002;BRW_001,1.0,1.0,1.0
TRAIN_004,"['TEA_005', 'ICT_004', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'TEA_012', 'TEA_003', 'ICT_003', 'ICT_002']",TEA_005;TEA_012;TEA_008;ICT_002;ICT_004;ICT_006;TEA_004;TEA_003;TEA_007;ICT_008;ICT_003;TEA_009;ICT_005;ICT_007;TEA_006,1.0,1.0,1.0
TRAIN_005,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_012;CBR_011;CBR_002;CBR_001;CBR_009,1.0,1.0,1.0
TRAIN_006,"['ICE_015', 'ICE_008', 'ICE_007', 'ICE_016', 'ICE_001', 'ICE_009', 'ICE_018', 'ICE_017']",ICE_016;ICE_001;ICE_017;ICE_018;ICE_008;ICE_015;ICE_009;ICE_007,1.0,1.0,1.0
TRAIN_007,"['BRW_002', 'BRW_001', 'BRW_003', 'BRW_005']",BRW_003;BRW_002;BRW_001;BRW_005,1.0,1.0,1.0
TRAIN_008,"['ESP_014', 'ESP_015', 'ESP_016']",ESP_016;ESP_015;ESP_014,1.0,1.0,1.0
TRAIN_009,"['TEA_005', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_004', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007']",TEA_008;TEA_005;TEA_007;TEA_004;ICT_008;ICT_004;ICT_006;ICT_005;ICT_007;TEA_006,1.0,1.0,1.0
TRAIN_010,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003']",BRW_004;BRW_003;BRW_002;BRW_001,1.0,1.0,1.0
TRAIN_011,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ICE_018', 'ESP_017', 'ICE_017', 'ICE_015']",ICE_018;ESP_017;ICE_017;ICE_001;ESP_001;ICE_015;ESP_002;ESP_014,1.0,1.0,1.0
TRAIN_012,"['ESP_014', 'ESP_002', 'ESP_017', 'ICE_001', 'ESP_001']",ESP_017;ICE_001;ESP_001;ESP_014;ESP_002,1.0,1.0,1.0
TRAIN_013,"['ESP_014', 'ESP_015', 'ESP_016']",ESP_016;ESP_015;ESP_014,1.0,1.0,1.0
TRAIN_014,"['CBR_001', 'CBR_008', 'CBR_009', 'CBR_010']",CBR_009;CBR_001;CBR_008;CBR_010,1.0,1.0,1.0
TRAIN_015,"['ICT_009', 'TEA_012']",ICT_009,0.6131471927654584,0.5,1.0
